Designator;Mid X;Mid Y;Layer;Rotation
C1;84932520;-63025020;top;90000000
C2;30657800;-63428880;top;90000000
C3;34163000;-53698140;top;270000000
C4;31877000;-53698140;top;270000000
C5;44584620;-59936380;top;180000000
C6;44584620;-64813180;top;180000000
C7;68404740;-60540900;top;270000000
C8;64752220;-70838060;top;180000000
C9;53781960;-66969640;top;90000000
C10;54612540;-58625740;top;90000000
D1;47525940;-45051980;top;90000000
D5;41948100;-45057060;top;90000000
R1;89707720;-71798180;top;90000000
R2;57185560;-77731620;top;0
R3;62865000;-45633640;top;90000000
R4;59499500;-45552360;top;270000000
R5;66781680;-52044600;top;90000000
R6;40533320;-76822300;top;270000000
R7;80899000;-82016600;top;270000000
R8;75057000;-82042000;top;270000000
R9;69037200;-82042000;top;270000000
SW1;89702640;-64058800;top;270000000
U1;31877000;-46184820;top;90000000
U2;61145420;-63720980;top;0
