Comment;Designator;Footprint
SW_Reset;SW1;SW_SPST_CK_RS282G05A3
SS14;D5,D1;D_SMA
MountingHole;H4,H3,H2,H1;MountingHole_3mm
8MHz;Y1;Crystal_HC18-U_Vertical
STM32F103C8T6;U2;LQFP-48_7x7mm_P0.5mm
AMS1117-3.3;U1;SOT-223-3_TabPin2
1K;R9,R8,R7;R_0805_2012Metric
100K;R6,R2;R_0805_2012Metric
10K;R5,R1;R_0805_2012Metric
20R;R4,R3;R_0805_2012Metric
Mini-DIN-6;J4;Mini-Din-6
Boot_Selector;J3;PinHeader_2x03_P2.54mm_Vertical
USB_B;J2;conector_USB_tipoB
J-Link;J1;PinHeader_1x04_P2.54mm_Vertical
RFM95W;IC1;RFM95W
LED;D4;LED_D3.0mm_Clear
LED;D3,D2;LED_D3.0mm
104;C10,C9,C8,C7,C2;C_0805_2012Metric
22pF;C6,C5;C_0805_2012Metric
10uF;C4;C_0805_2012Metric
22uF;C3;C_0805_2012Metric
105;C1;C_0805_2012Metric
